id,domain,base,adj,adj_sentiment,n_not,contraction,not_at,aux_not,label,sentence
1,film,The movie was,unforgettable,positive,2,False,False,False,positive,"Even so, the movie was not not unforgettable"
2,film,The film was,overlong,negative,2,False,False,False,negative,I have to say the film was not not overlong
3,film,The plot was,confusing,negative,2,False,False,False,negative,"Honestly, the plot was not not confusing"
4,film,The acting was,masterful,positive,2,False,False,False,positive,"All things considered, the acting was not not masterful"
5,film,The ending was,gripping,positive,2,False,False,False,positive,"At the end of the day, the ending was not not gripping"
6,film,The soundtrack was,gripping,positive,2,False,False,False,positive,"Overall, the soundtrack was not not gripping"
7,film,The script was,captivating,positive,2,False,False,False,positive,I must admit the script was not not captivating
8,film,The cinematography was,compelling,positive,2,False,False,False,positive,"Undeniably, the cinematography was not not compelling"
9,film,The cast was,thought-provoking,positive,2,False,False,False,positive,"Having given it a fair chance, the cast was not not thought-provoking"
10,film,The direction was,unforgettable,positive,2,False,False,False,positive,"Compared to what I expected, the direction was not not unforgettable"
11,film,The dialogue was,overlong,negative,2,False,False,False,negative,"Clearly, the dialogue was not not overlong"
12,film,The pacing was,brilliant,positive,2,False,False,False,positive,"To put it mildly, the pacing was not not brilliant"
13,film,The visual effects were,confusing,negative,2,False,False,False,negative,There is no denying that the visual effects were not not confusing
14,film,The story was,disappointing,negative,2,False,False,False,negative,"Frankly, the story was not not disappointing"
15,food,The pasta was,disappointing,negative,2,False,False,False,negative,"Honestly, the pasta was not not disappointing"
16,food,The soup was,bland,negative,2,False,False,False,negative,"Clearly, the soup was not not bland"
17,food,The bread was,cold,negative,2,False,False,False,negative,"In the end, the bread was not not cold"
18,food,The dessert was,fresh,positive,2,False,False,False,positive,"Overall, the dessert was not not fresh"
19,food,The steak was,salty,negative,2,False,False,False,negative,"From my perspective, the steak was not not salty"
20,food,The salad was,heavenly,positive,2,False,False,False,positive,"To say the least, the salad was not not heavenly"
21,food,The coffee was,stale,negative,2,False,False,False,negative,"Honestly, the coffee was not not stale"
22,food,The sauce was,fresh,positive,2,False,False,False,positive,"Let us be clear, the sauce was not not fresh"
23,food,The pizza was,tender,positive,2,False,False,False,positive,I would argue the pizza was not not tender
24,food,The meal was,bland,negative,2,False,False,False,negative,"That said, the meal was not not bland"
25,food,The wine was,tasteless,negative,2,False,False,False,negative,"Looking at it carefully, the wine was not not tasteless"
26,food,The appetizer was,stale,negative,2,False,False,False,negative,"Compared to what I expected, the appetizer was not not stale"
27,food,The portion was,undercooked,negative,2,False,False,False,negative,"Without a doubt, the portion was not not undercooked"
28,food,The flavor was,perfectly seasoned,positive,2,False,False,False,positive,"Overall, the flavor was not not perfectly seasoned"
29,people,The teacher was,incompetent,negative,2,False,False,False,negative,"No matter how you look at it, the teacher was not not incompetent"
30,people,The doctor was,welcoming,positive,2,False,False,False,positive,"To put it mildly, the doctor was not not welcoming"
31,people,The colleague was,caring,positive,2,False,False,False,positive,"All things considered, the colleague was not not caring"
32,people,The manager was,arrogant,negative,2,False,False,False,negative,The manager was not not arrogant
33,people,The guide was,dismissive,negative,2,False,False,False,negative,I think the guide was not not dismissive
34,people,The host was,supportive,positive,2,False,False,False,positive,"Looking at it carefully, the host was not not supportive"
35,people,The performer was,welcoming,positive,2,False,False,False,positive,There is no denying that the performer was not not welcoming
36,people,The speaker was,incompetent,negative,2,False,False,False,negative,"To my surprise, the speaker was not not incompetent"
37,people,The coach was,talented,positive,2,False,False,False,positive,"All things considered, the coach was not not talented"
38,people,The chef was,supportive,positive,2,False,False,False,positive,"If I am honest, the chef was not not supportive"
39,people,The waiter was,unprofessional,negative,2,False,False,False,negative,"In the end, the waiter was not not unprofessional"
40,people,The receptionist was,talented,positive,2,False,False,False,positive,"To my surprise, the receptionist was not not talented"
41,people,The instructor was,engaging,positive,2,False,False,False,positive,"Undeniably, the instructor was not not engaging"
42,people,The assistant was,inspiring,positive,2,False,False,False,positive,"Clearly, the assistant was not not inspiring"
43,places,The beach was,charming,positive,2,False,False,False,positive,People kept saying the beach was not not charming
44,places,The park was,overcrowded,negative,2,False,False,False,negative,"Undeniably, the park was not not overcrowded"
45,places,The museum was,cozy,positive,2,False,False,False,positive,"Much to my surprise, the museum was not not cozy"
46,places,The restaurant was,breathtaking,positive,2,False,False,False,positive,"Much to my surprise, the restaurant was not not breathtaking"
47,places,The hotel was,chaotic,negative,2,False,False,False,negative,"To say the least, the hotel was not not chaotic"
48,places,The city was,unsafe,negative,2,False,False,False,negative,"Looking back, the city was not not unsafe"
49,places,The garden was,noisy,negative,2,False,False,False,negative,"Frankly, the garden was not not noisy"
50,places,The view was,overcrowded,negative,2,False,False,False,negative,"At best, the view was not not overcrowded"
51,places,The village was,overpriced,negative,2,False,False,False,negative,"Compared to what I expected, the village was not not overpriced"
52,places,The market was,cozy,positive,2,False,False,False,positive,I have to say the market was not not cozy
53,places,The neighborhood was,peaceful,positive,2,False,False,False,positive,People kept saying the neighborhood was not not peaceful
54,places,The atmosphere was,beautiful,positive,2,False,False,False,positive,"Clearly, the atmosphere was not not beautiful"
55,places,The venue was,overcrowded,negative,2,False,False,False,negative,"Let us be clear, the venue was not not overcrowded"
56,places,The landscape was,dirty,negative,2,False,False,False,negative,"From the start, the landscape was not not dirty"
57,products,The laptop was,overpriced,negative,2,False,False,False,negative,"Even so, the laptop was not not overpriced"
58,products,The phone was,intuitive,positive,2,False,False,False,positive,"If anything, the phone was not not intuitive"
59,products,The camera was,fragile,negative,2,False,False,False,negative,Everyone agreed that the camera was not not fragile
60,products,The headphones were,responsive,positive,2,False,False,False,positive,"Make no mistake, the headphones were not not responsive"
61,products,The keyboard was,broken,negative,2,False,False,False,negative,I would argue the keyboard was not not broken
62,products,The watch was,slow,negative,2,False,False,False,negative,"Admittedly, the watch was not not slow"
63,products,The bag was,durable,positive,2,False,False,False,positive,"Frankly, the bag was not not durable"
64,products,The software was,sturdy,positive,2,False,False,False,positive,Who would have thought that the software was not not sturdy
65,products,The chair was,broken,negative,2,False,False,False,negative,"Overall, the chair was not not broken"
66,products,The blender was,sturdy,positive,2,False,False,False,positive,"From the start, the blender was not not sturdy"
67,products,The battery was,precise,positive,2,False,False,False,positive,"Clearly, the battery was not not precise"
68,products,The screen was,overpriced,negative,2,False,False,False,negative,"Overall, the screen was not not overpriced"
69,products,The design was,flimsy,negative,2,False,False,False,negative,"Undeniably, the design was not not flimsy"
70,products,The packaging was,sturdy,positive,2,False,False,False,positive,People kept saying the packaging was not not sturdy
