id,domain,base,adj,adj_sentiment,n_not,contraction,not_at,aux_not,label,sentence
1,film,The movie was,unforgettable,positive,0,False,False,True,positive,Everyone could not tell that the movie was unforgettable
2,film,The film was,overlong,negative,0,False,False,True,negative,I would not go back: the film was overlong
3,film,The plot was,confusing,negative,0,False,False,True,negative,I could not wait to leave because the plot was confusing
4,film,The acting was,masterful,positive,0,False,False,True,positive,I will not forget that the acting was masterful
5,film,The ending was,gripping,positive,0,False,False,True,positive,I could not help but notice that the ending was gripping
6,film,The soundtrack was,gripping,positive,0,False,False,True,positive,I could not stop thinking about how the soundtrack was gripping
7,film,The script was,captivating,positive,0,False,False,True,positive,I could not stop thinking about how the script was captivating
8,film,The cinematography was,compelling,positive,0,False,False,True,positive,I could not believe that the cinematography was compelling
9,film,The cast was,thought-provoking,positive,0,False,False,True,positive,I will not forget that the cast was thought-provoking
10,film,The direction was,unforgettable,positive,0,False,False,True,positive,I would not go back: the direction was unforgettable
11,film,The dialogue was,overlong,negative,0,False,False,True,negative,Everyone could not tell that the dialogue was overlong
12,film,The pacing was,brilliant,positive,0,False,False,True,positive,I will not forget that the pacing was brilliant
13,film,The visual effects were,confusing,negative,0,False,False,True,negative,It was not obvious that the visual effects were confusing
14,film,The story was,disappointing,negative,0,False,False,True,negative,I would not go back: the story was disappointing
15,food,The pasta was,disappointing,negative,0,False,False,True,negative,Nobody could not see that the pasta was disappointing
16,food,The soup was,bland,negative,0,False,False,True,negative,You could not deny that the soup was bland
17,food,The bread was,cold,negative,0,False,False,True,negative,I could not wait to leave because the bread was cold
18,food,The dessert was,fresh,positive,0,False,False,True,positive,I could not wait to leave because the dessert was fresh
19,food,The steak was,salty,negative,0,False,False,True,negative,I would not go back: the steak was salty
20,food,The salad was,heavenly,positive,0,False,False,True,positive,I could not stop thinking about how the salad was heavenly
21,food,The coffee was,stale,negative,0,False,False,True,negative,I could not stop thinking about how the coffee was stale
22,food,The sauce was,fresh,positive,0,False,False,True,positive,It was not obvious that the sauce was fresh
23,food,The pizza was,tender,positive,0,False,False,True,positive,Nobody could not see that the pizza was tender
24,food,The meal was,bland,negative,0,False,False,True,negative,I could not wait to leave because the meal was bland
25,food,The wine was,tasteless,negative,0,False,False,True,negative,It was not obvious that the wine was tasteless
26,food,The appetizer was,stale,negative,0,False,False,True,negative,I could not stop thinking about how the appetizer was stale
27,food,The portion was,undercooked,negative,0,False,False,True,negative,I will not forget that the portion was undercooked
28,food,The flavor was,perfectly seasoned,positive,0,False,False,True,positive,Everyone could not tell that the flavor was perfectly seasoned
29,people,The teacher was,incompetent,negative,0,False,False,True,negative,I will not forget that the teacher was incompetent
30,people,The doctor was,welcoming,positive,0,False,False,True,positive,It was not obvious that the doctor was welcoming
31,people,The colleague was,caring,positive,0,False,False,True,positive,You could not deny that the colleague was caring
32,people,The manager was,arrogant,negative,0,False,False,True,negative,I could not stop thinking about how the manager was arrogant
33,people,The guide was,dismissive,negative,0,False,False,True,negative,It was not clear to me that the guide was dismissive
34,people,The host was,supportive,positive,0,False,False,True,positive,Nobody could not see that the host was supportive
35,people,The performer was,welcoming,positive,0,False,False,True,positive,I could not help but notice that the performer was welcoming
36,people,The speaker was,incompetent,negative,0,False,False,True,negative,I could not wait to leave because the speaker was incompetent
37,people,The coach was,talented,positive,0,False,False,True,positive,I could not believe that the coach was talented
38,people,The chef was,supportive,positive,0,False,False,True,positive,I will not forget that the chef was supportive
39,people,The waiter was,unprofessional,negative,0,False,False,True,negative,You could not deny that the waiter was unprofessional
40,people,The receptionist was,talented,positive,0,False,False,True,positive,I would not say that the receptionist was talented
41,people,The instructor was,engaging,positive,0,False,False,True,positive,I could not help but notice that the instructor was engaging
