id,domain,base,adj,adj_sentiment,n_not,contraction,not_at,aux_not,label,sentence
1,film,The movie was,unforgettable,positive,1,False,True,False,positive,"NOT Even so, the movie was unforgettable"
2,film,The film was,overlong,negative,1,False,True,False,negative,NOT I have to say the film was overlong
3,film,The plot was,confusing,negative,1,False,True,False,negative,"NOT Honestly, the plot was confusing"
4,film,The acting was,masterful,positive,1,False,True,False,positive,"NOT All things considered, the acting was masterful"
5,film,The ending was,gripping,positive,1,False,True,False,positive,"NOT At the end of the day, the ending was gripping"
6,film,The soundtrack was,gripping,positive,1,False,True,False,positive,"NOT Overall, the soundtrack was gripping"
7,film,The script was,captivating,positive,1,False,True,False,positive,NOT I must admit the script was captivating
8,film,The cinematography was,compelling,positive,1,False,True,False,positive,"NOT Undeniably, the cinematography was compelling"
9,film,The cast was,thought-provoking,positive,1,False,True,False,positive,"NOT Having given it a fair chance, the cast was thought-provoking"
10,film,The direction was,unforgettable,positive,1,False,True,False,positive,"NOT Compared to what I expected, the direction was unforgettable"
11,film,The dialogue was,overlong,negative,1,False,True,False,negative,"NOT Clearly, the dialogue was overlong"
12,film,The pacing was,brilliant,positive,1,False,True,False,positive,"NOT To put it mildly, the pacing was brilliant"
13,film,The visual effects were,confusing,negative,1,False,True,False,negative,NOT There is no denying that the visual effects were confusing
14,film,The story was,disappointing,negative,1,False,True,False,negative,"NOT Frankly, the story was disappointing"
15,food,The pasta was,disappointing,negative,1,False,True,False,negative,"NOT Honestly, the pasta was disappointing"
16,food,The soup was,bland,negative,1,False,True,False,negative,"NOT Clearly, the soup was bland"
17,food,The bread was,cold,negative,1,False,True,False,negative,"NOT In the end, the bread was cold"
18,food,The dessert was,fresh,positive,1,False,True,False,positive,"NOT Overall, the dessert was fresh"
19,food,The steak was,salty,negative,1,False,True,False,negative,"NOT From my perspective, the steak was salty"
20,food,The salad was,heavenly,positive,1,False,True,False,positive,"NOT To say the least, the salad was heavenly"
21,food,The coffee was,stale,negative,1,False,True,False,negative,"NOT Honestly, the coffee was stale"
22,food,The sauce was,fresh,positive,1,False,True,False,positive,"NOT Let us be clear, the sauce was fresh"
23,food,The pizza was,tender,positive,1,False,True,False,positive,NOT I would argue the pizza was tender
24,food,The meal was,bland,negative,1,False,True,False,negative,"NOT That said, the meal was bland"
25,food,The wine was,tasteless,negative,1,False,True,False,negative,"NOT Looking at it carefully, the wine was tasteless"
26,food,The appetizer was,stale,negative,1,False,True,False,negative,"NOT Compared to what I expected, the appetizer was stale"
27,food,The portion was,undercooked,negative,1,False,True,False,negative,"NOT Without a doubt, the portion was undercooked"
28,food,The flavor was,perfectly seasoned,positive,1,False,True,False,positive,"NOT Overall, the flavor was perfectly seasoned"
29,people,The teacher was,incompetent,negative,1,False,True,False,negative,"NOT No matter how you look at it, the teacher was incompetent"
30,people,The doctor was,welcoming,positive,1,False,True,False,positive,"NOT To put it mildly, the doctor was welcoming"
31,people,The colleague was,caring,positive,1,False,True,False,positive,"NOT All things considered, the colleague was caring"
32,people,The manager was,arrogant,negative,1,False,True,False,negative,NOT The manager was arrogant
33,people,The guide was,dismissive,negative,1,False,True,False,negative,NOT I think the guide was dismissive
34,people,The host was,supportive,positive,1,False,True,False,positive,"NOT Looking at it carefully, the host was supportive"
